PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 10_M15,4183_Plaque cell 10_20122017_1323,M15,,0.698361,0.493407,146,115.143,0.00813007,Plaque cell 10,AR-A014418,3.23E-05
Plaque cell 10_M16,4183_Plaque cell 10_20122017_1323,M16,,0.78215,0.0324751,2077,90.9936,0.0804553,Plaque cell 10,AR-A014418,9.68E-06
Plaque cell 10_M17,4183_Plaque cell 10_20122017_1323,M17,,0.753543,0.0415524,1977,106.582,0.133604,Plaque cell 10,AR-A014418,2.90E-06
Plaque cell 10_M18,4183_Plaque cell 10_20122017_1323,M18,,0.768486,0.10046,1860,107.236,0.29927,Plaque cell 10,AR-A014418,8.71E-07
Plaque cell 10_M19,4183_Plaque cell 10_20122017_1323,M19,,0.750884,0.102159,2090,104.147,0.222588,Plaque cell 10,AR-A014418,2.61E-07
Plaque cell 10_M20,4183_Plaque cell 10_20122017_1323,M20,,0.763075,0.159251,2136,107.789,0.322209,Plaque cell 10,AR-A014418,7.84E-08
Plaque cell 10_M21,4183_Plaque cell 10_20122017_1323,M21,,0.74204,0.161069,1903,104.9,0.287072,Plaque cell 10,AR-A014418,2.35E-08
Plaque cell 10_M22,4183_Plaque cell 10_20122017_1323,M22,,0.746417,0.187758,2049,105.863,0.262976,Plaque cell 10,AR-A014418,7.06E-09
Plaque cell 10_M23,4183_Plaque cell 10_20122017_1323,M23,,0.758897,0.119729,1537,106.235,0.254309,Plaque cell 10,AR-A014418,2.12E-09
Plaque cell 10_M24,4183_Plaque cell 10_20122017_1323,M24,,0.713611,0.165585,1609,110.567,0.141181,Plaque cell 10,AR-A014418,6.35E-10
Plaque cell 11_M15,4184_Plaque cell 11_20122017_1348,M15,,0.721998,0.362009,143,90.1997,0,Plaque cell 11,AR-A014418,3.23E-05
Plaque cell 11_M16,4184_Plaque cell 11_20122017_1348,M16,,0.771785,0.0305185,2012,94.6028,0.0563504,Plaque cell 11,AR-A014418,9.68E-06
Plaque cell 11_M17,4184_Plaque cell 11_20122017_1348,M17,,0.745208,0.179491,2381,99.8481,0.153074,Plaque cell 11,AR-A014418,2.90E-06
Plaque cell 11_M18,4184_Plaque cell 11_20122017_1348,M18,,0.762629,0.0804649,1950,106.453,0.310686,Plaque cell 11,AR-A014418,8.71E-07
Plaque cell 11_M19,4184_Plaque cell 11_20122017_1348,M19,,0.764794,0.113402,1828,103.96,0.30436,Plaque cell 11,AR-A014418,2.61E-07
Plaque cell 11_M20,4184_Plaque cell 11_20122017_1348,M20,,0.762726,0.148534,2006,102.185,0.369142,Plaque cell 11,AR-A014418,7.84E-08
Plaque cell 11_M21,4184_Plaque cell 11_20122017_1348,M21,,0.786994,0.120607,1726,103.238,0.407699,Plaque cell 11,AR-A014418,2.35E-08
Plaque cell 11_M22,4184_Plaque cell 11_20122017_1348,M22,,0.767455,0.126886,1843,104.6,0.371141,Plaque cell 11,AR-A014418,7.06E-09
Plaque cell 11_M23,4184_Plaque cell 11_20122017_1348,M23,,0.748307,0.172736,1720,104.083,0.314289,Plaque cell 11,AR-A014418,2.12E-09
Plaque cell 11_M24,4184_Plaque cell 11_20122017_1348,M24,,0.740621,0.158956,1385,108.435,0.287787,Plaque cell 11,AR-A014418,6.35E-10
Plaque cell 12_M15,4185_Plaque cell 12_20122017_1413,M15,,0.78781,0.0226485,742,98.3742,0,Plaque cell 12,AR-A014418,3.23E-05
Plaque cell 12_M16,4185_Plaque cell 12_20122017_1413,M16,,0.772741,0.0136184,2044,91.0834,0.0260904,Plaque cell 12,AR-A014418,9.68E-06
Plaque cell 12_M17,4185_Plaque cell 12_20122017_1413,M17,,0.759962,0.0767305,2146,96.716,0.128664,Plaque cell 12,AR-A014418,2.90E-06
Plaque cell 12_M18,4185_Plaque cell 12_20122017_1413,M18,,0.755665,0.112154,2204,101.89,0.278001,Plaque cell 12,AR-A014418,8.71E-07
Plaque cell 12_M19,4185_Plaque cell 12_20122017_1413,M19,,0.767821,0.0855092,1888,99.9871,0.25956,Plaque cell 12,AR-A014418,2.61E-07
Plaque cell 12_M20,4185_Plaque cell 12_20122017_1413,M20,,0.770825,0.123916,2013,101.493,0.334607,Plaque cell 12,AR-A014418,7.84E-08
Plaque cell 12_M21,4185_Plaque cell 12_20122017_1413,M21,,0.768115,0.107431,1881,99.0519,0.360264,Plaque cell 12,AR-A014418,2.35E-08
Plaque cell 12_M22,4185_Plaque cell 12_20122017_1413,M22,,0.749725,0.153514,1952,101.485,0.294163,Plaque cell 12,AR-A014418,7.06E-09
Plaque cell 12_M23,4185_Plaque cell 12_20122017_1413,M23,,0.761669,0.123594,1643,99.732,0.26965,Plaque cell 12,AR-A014418,2.12E-09
Plaque cell 12_M24,4185_Plaque cell 12_20122017_1413,M24,,0.737653,0.109204,1461,104.887,0.230654,Plaque cell 12,AR-A014418,6.35E-10
Plaque cell 10_B15,4183_Plaque cell 10_20122017_1323,B15,,0.66787,0.652869,142,88.5043,0,Plaque cell 10,Canertinib First lot,3.23E-05
Plaque cell 10_B16,4183_Plaque cell 10_20122017_1323,B16,,0.706478,0.675463,62,99.9047,0,Plaque cell 10,Canertinib First lot,9.68E-06
Plaque cell 10_B17,4183_Plaque cell 10_20122017_1323,B17,,0.711224,0.769982,184,114.589,0.0476442,Plaque cell 10,Canertinib First lot,2.90E-06
Plaque cell 10_B18,4183_Plaque cell 10_20122017_1323,B18,,0.70899,0.109711,590,102.241,0.0455089,Plaque cell 10,Canertinib First lot,8.71E-07
Plaque cell 10_B19,4183_Plaque cell 10_20122017_1323,B19,,0.702576,0.0481002,1616,105.466,0.094611,Plaque cell 10,Canertinib First lot,2.61E-07
Plaque cell 10_B20,4183_Plaque cell 10_20122017_1323,B20,,0.719886,0.0389752,1463,107.92,0.144843,Plaque cell 10,Canertinib First lot,7.84E-08
Plaque cell 10_B21,4183_Plaque cell 10_20122017_1323,B21,,0.734496,0.127954,1695,108.896,0.188559,Plaque cell 10,Canertinib First lot,2.35E-08
Plaque cell 10_B22,4183_Plaque cell 10_20122017_1323,B22,,0.745472,0.106382,1789,104.635,0.223864,Plaque cell 10,Canertinib First lot,7.06E-09
Plaque cell 10_B23,4183_Plaque cell 10_20122017_1323,B23,,0.754941,0.100438,1509,106.422,0.219543,Plaque cell 10,Canertinib First lot,2.12E-09
Plaque cell 10_B24,4183_Plaque cell 10_20122017_1323,B24,,0.706568,0.222508,1480,96.985,0.194977,Plaque cell 10,Canertinib First lot,6.35E-10
Plaque cell 11_B15,4184_Plaque cell 11_20122017_1348,B15,,0.668024,0.567043,125,97.582,0,Plaque cell 11,Canertinib First lot,3.23E-05
Plaque cell 11_B16,4184_Plaque cell 11_20122017_1348,B16,,0.690663,0.551404,60,100.36,0,Plaque cell 11,Canertinib First lot,9.68E-06
Plaque cell 11_B17,4184_Plaque cell 11_20122017_1348,B17,,0.715995,0.624677,127,98.6105,0.0215054,Plaque cell 11,Canertinib First lot,2.90E-06
Plaque cell 11_B18,4184_Plaque cell 11_20122017_1348,B18,,0.699085,0.193107,462,103.942,0.101377,Plaque cell 11,Canertinib First lot,8.71E-07
Plaque cell 11_B19,4184_Plaque cell 11_20122017_1348,B19,,0.692521,0.0601074,1292,105.63,0.0457692,Plaque cell 11,Canertinib First lot,2.61E-07
Plaque cell 11_B20,4184_Plaque cell 11_20122017_1348,B20,,0.710093,0.0265768,1557,105.862,0.161675,Plaque cell 11,Canertinib First lot,7.84E-08
Plaque cell 11_B21,4184_Plaque cell 11_20122017_1348,B21,,0.739365,0.0712412,1633,109.353,0.212061,Plaque cell 11,Canertinib First lot,2.35E-08
Plaque cell 11_B22,4184_Plaque cell 11_20122017_1348,B22,,0.771542,0.0999174,1399,100.744,0.270632,Plaque cell 11,Canertinib First lot,7.06E-09
Plaque cell 11_B23,4184_Plaque cell 11_20122017_1348,B23,,0.743411,0.157642,1770,101.547,0.282139,Plaque cell 11,Canertinib First lot,2.12E-09
Plaque cell 11_B24,4184_Plaque cell 11_20122017_1348,B24,,0.765121,0.0891512,1012,104.297,0.34043,Plaque cell 11,Canertinib First lot,6.35E-10
Plaque cell 12_B15,4185_Plaque cell 12_20122017_1413,B15,,0.683914,0.544022,82,81.5305,0,Plaque cell 12,Canertinib First lot,3.23E-05
Plaque cell 12_B16,4185_Plaque cell 12_20122017_1413,B16,,0.728354,0.539143,93,92.6804,0,Plaque cell 12,Canertinib First lot,9.68E-06
Plaque cell 12_B17,4185_Plaque cell 12_20122017_1413,B17,,0.751731,0.611162,126,97.0894,0.0515423,Plaque cell 12,Canertinib First lot,2.90E-06
Plaque cell 12_B18,4185_Plaque cell 12_20122017_1413,B18,,0.686412,0.120857,776,102.904,0.0464164,Plaque cell 12,Canertinib First lot,8.71E-07
Plaque cell 12_B19,4185_Plaque cell 12_20122017_1413,B19,,0.702167,0.0278842,1481,101.042,0.0875337,Plaque cell 12,Canertinib First lot,2.61E-07
Plaque cell 12_B20,4185_Plaque cell 12_20122017_1413,B20,,0.700579,0.0297641,1558,103.316,0.132467,Plaque cell 12,Canertinib First lot,7.84E-08
Plaque cell 12_B21,4185_Plaque cell 12_20122017_1413,B21,,0.73827,0.0840551,1732,105.414,0.236032,Plaque cell 12,Canertinib First lot,2.35E-08
Plaque cell 12_B22,4185_Plaque cell 12_20122017_1413,B22,,0.767704,0.0958185,1571,93.6986,0.340105,Plaque cell 12,Canertinib First lot,7.06E-09
Plaque cell 12_B23,4185_Plaque cell 12_20122017_1413,B23,,0.753966,0.148289,1459,99.505,0.325989,Plaque cell 12,Canertinib First lot,2.12E-09
Plaque cell 12_B24,4185_Plaque cell 12_20122017_1413,B24,,0.726108,0.16291,1079,95.0131,0.221899,Plaque cell 12,Canertinib First lot,6.35E-10
Plaque cell 10_J15,4183_Plaque cell 10_20122017_1323,J15,,0.74436,0.275251,2525,99.7978,0.308665,Plaque cell 10,Capecitabine,3.23E-05
Plaque cell 10_J16,4183_Plaque cell 10_20122017_1323,J16,,0.768875,0.104981,1876,98.4004,0.29509,Plaque cell 10,Capecitabine,9.68E-06
Plaque cell 10_J17,4183_Plaque cell 10_20122017_1323,J17,,0.758796,0.141379,1970,102.284,0.346063,Plaque cell 10,Capecitabine,2.90E-06
Plaque cell 10_J18,4183_Plaque cell 10_20122017_1323,J18,,0.76304,0.142451,1854,102.759,0.309577,Plaque cell 10,Capecitabine,8.71E-07
Plaque cell 10_J19,4183_Plaque cell 10_20122017_1323,J19,,0.755532,0.196012,2340,101.705,0.376789,Plaque cell 10,Capecitabine,2.61E-07
Plaque cell 10_J20,4183_Plaque cell 10_20122017_1323,J20,,0.757748,0.114285,1786,103.939,0.297164,Plaque cell 10,Capecitabine,7.84E-08
Plaque cell 10_J21,4183_Plaque cell 10_20122017_1323,J21,,0.75527,0.109293,1889,104.772,0.235519,Plaque cell 10,Capecitabine,2.35E-08
Plaque cell 10_J22,4183_Plaque cell 10_20122017_1323,J22,,0.755188,0.142923,1764,104.818,0.318978,Plaque cell 10,Capecitabine,7.06E-09
Plaque cell 10_J23,4183_Plaque cell 10_20122017_1323,J23,,0.760035,0.17971,1732,105.922,0.258233,Plaque cell 10,Capecitabine,2.12E-09
Plaque cell 10_J24,4183_Plaque cell 10_20122017_1323,J24,,0.769562,0.103085,1168,107.879,0.298702,Plaque cell 10,Capecitabine,6.35E-10
Plaque cell 11_J15,4184_Plaque cell 11_20122017_1348,J15,,0.763849,0.149924,2016,104.807,0.383219,Plaque cell 11,Capecitabine,3.23E-05
Plaque cell 11_J16,4184_Plaque cell 11_20122017_1348,J16,,0.779596,0.114842,1745,101.738,0.394628,Plaque cell 11,Capecitabine,9.68E-06
Plaque cell 11_J17,4184_Plaque cell 11_20122017_1348,J17,,0.773588,0.121566,1858,97.513,0.277857,Plaque cell 11,Capecitabine,2.90E-06
Plaque cell 11_J18,4184_Plaque cell 11_20122017_1348,J18,,0.766114,0.146886,1931,100.776,0.363298,Plaque cell 11,Capecitabine,8.71E-07
Plaque cell 11_J19,4184_Plaque cell 11_20122017_1348,J19,,0.761581,0.154333,2151,102.281,0.357146,Plaque cell 11,Capecitabine,2.61E-07
Plaque cell 11_J20,4184_Plaque cell 11_20122017_1348,J20,,0.749627,0.182573,2111,101.489,0.262362,Plaque cell 11,Capecitabine,7.84E-08
Plaque cell 11_J21,4184_Plaque cell 11_20122017_1348,J21,,0.762662,0.145484,2017,97.6131,0.321362,Plaque cell 11,Capecitabine,2.35E-08
Plaque cell 11_J22,4184_Plaque cell 11_20122017_1348,J22,,0.746723,0.156208,1823,103.765,0.309065,Plaque cell 11,Capecitabine,7.06E-09
Plaque cell 11_J23,4184_Plaque cell 11_20122017_1348,J23,,0.741367,0.13575,1879,98.9966,0.271099,Plaque cell 11,Capecitabine,2.12E-09
Plaque cell 11_J24,4184_Plaque cell 11_20122017_1348,J24,,0.751633,0.145861,1308,100.284,0.338121,Plaque cell 11,Capecitabine,6.35E-10
Plaque cell 12_J15,4185_Plaque cell 12_20122017_1413,J15,,0.773319,0.139028,1927,98.6245,0.422418,Plaque cell 12,Capecitabine,3.23E-05
Plaque cell 12_J16,4185_Plaque cell 12_20122017_1413,J16,,0.760157,0.200107,2111,94.846,0.317128,Plaque cell 12,Capecitabine,9.68E-06
Plaque cell 12_J17,4185_Plaque cell 12_20122017_1413,J17,,0.769204,0.116707,1917,97.016,0.295067,Plaque cell 12,Capecitabine,2.90E-06
Plaque cell 12_J18,4185_Plaque cell 12_20122017_1413,J18,,0.770518,0.105165,1900,98.524,0.308383,Plaque cell 12,Capecitabine,8.71E-07
Plaque cell 12_J19,4185_Plaque cell 12_20122017_1413,J19,,0.753036,0.154585,2057,102.643,0.307314,Plaque cell 12,Capecitabine,2.61E-07
Plaque cell 12_J20,4185_Plaque cell 12_20122017_1413,J20,,0.765002,0.109678,1888,101.772,0.295533,Plaque cell 12,Capecitabine,7.84E-08
Plaque cell 12_J21,4185_Plaque cell 12_20122017_1413,J21,,0.757481,0.141191,2003,103.156,0.311774,Plaque cell 12,Capecitabine,2.35E-08
Plaque cell 12_J22,4185_Plaque cell 12_20122017_1413,J22,,0.768289,0.107132,1609,96.0548,0.336362,Plaque cell 12,Capecitabine,7.06E-09
Plaque cell 12_J23,4185_Plaque cell 12_20122017_1413,J23,,0.75939,0.118133,1659,97.4512,0.298197,Plaque cell 12,Capecitabine,2.12E-09
Plaque cell 12_J24,4185_Plaque cell 12_20122017_1413,J24,,0.724267,0.167588,1358,102.866,0.29307,Plaque cell 12,Capecitabine,6.35E-10
Plaque cell 10_L15,4183_Plaque cell 10_20122017_1323,L15,,0.626654,0.270587,375,82.37,0,Plaque cell 10,CHIR-99021,3.23E-05
Plaque cell 10_L16,4183_Plaque cell 10_20122017_1323,L16,,0.712096,0.123129,1129,90.1587,0.0165127,Plaque cell 10,CHIR-99021,9.68E-06
Plaque cell 10_L17,4183_Plaque cell 10_20122017_1323,L17,,0.800454,0.34435,2603,98.0302,0.584254,Plaque cell 10,CHIR-99021,2.90E-06
Plaque cell 10_L18,4183_Plaque cell 10_20122017_1323,L18,,0.790186,0.174297,2194,99.0867,0.47864,Plaque cell 10,CHIR-99021,8.71E-07
Plaque cell 10_L19,4183_Plaque cell 10_20122017_1323,L19,,0.758498,0.158313,2172,104.234,0.351116,Plaque cell 10,CHIR-99021,2.61E-07
Plaque cell 10_L20,4183_Plaque cell 10_20122017_1323,L20,,0.757472,0.163457,2005,108.158,0.332794,Plaque cell 10,CHIR-99021,7.84E-08
Plaque cell 10_L21,4183_Plaque cell 10_20122017_1323,L21,,0.780071,0.102461,1850,100.029,0.303983,Plaque cell 10,CHIR-99021,2.35E-08
Plaque cell 10_L22,4183_Plaque cell 10_20122017_1323,L22,,0.763327,0.135876,1795,105.568,0.263531,Plaque cell 10,CHIR-99021,7.06E-09
Plaque cell 10_L23,4183_Plaque cell 10_20122017_1323,L23,,0.753915,0.111219,1653,106.483,0.201213,Plaque cell 10,CHIR-99021,2.12E-09
Plaque cell 10_L24,4183_Plaque cell 10_20122017_1323,L24,,0.725355,0.101513,1597,106.852,0.219763,Plaque cell 10,CHIR-99021,6.35E-10
Plaque cell 11_L15,4184_Plaque cell 11_20122017_1348,L15,,0.640788,0.286682,201,80.2,0,Plaque cell 11,CHIR-99021,3.23E-05
Plaque cell 11_L16,4184_Plaque cell 11_20122017_1348,L16,,0.708232,0.0924899,956,83.1371,0.0125315,Plaque cell 11,CHIR-99021,9.68E-06
Plaque cell 11_L17,4184_Plaque cell 11_20122017_1348,L17,,0.78962,0.358561,2846,97.3794,0.46848,Plaque cell 11,CHIR-99021,2.90E-06
Plaque cell 11_L18,4184_Plaque cell 11_20122017_1348,L18,,0.786559,0.246485,2507,102.911,0.560062,Plaque cell 11,CHIR-99021,8.71E-07
Plaque cell 11_L19,4184_Plaque cell 11_20122017_1348,L19,,0.777348,0.116186,2045,100.28,0.347384,Plaque cell 11,CHIR-99021,2.61E-07
Plaque cell 11_L20,4184_Plaque cell 11_20122017_1348,L20,,0.776439,0.14932,2003,104.685,0.433759,Plaque cell 11,CHIR-99021,7.84E-08
Plaque cell 11_L21,4184_Plaque cell 11_20122017_1348,L21,,0.755222,0.168286,2110,102.443,0.369774,Plaque cell 11,CHIR-99021,2.35E-08
Plaque cell 11_L22,4184_Plaque cell 11_20122017_1348,L22,,0.762495,0.174565,1794,105.328,0.281277,Plaque cell 11,CHIR-99021,7.06E-09
Plaque cell 11_L23,4184_Plaque cell 11_20122017_1348,L23,,0.76668,0.187218,1628,101.787,0.333575,Plaque cell 11,CHIR-99021,2.12E-09
Plaque cell 11_L24,4184_Plaque cell 11_20122017_1348,L24,,0.74159,0.126593,1425,103.922,0.336661,Plaque cell 11,CHIR-99021,6.35E-10
Plaque cell 12_L15,4185_Plaque cell 12_20122017_1413,L15,,0.661921,0.228888,257,97.5351,0,Plaque cell 12,CHIR-99021,3.23E-05
Plaque cell 12_L16,4185_Plaque cell 12_20122017_1413,L16,,0.710994,0.110511,875,84.5015,0.0289078,Plaque cell 12,CHIR-99021,9.68E-06
Plaque cell 12_L17,4185_Plaque cell 12_20122017_1413,L17,,0.788629,0.440026,2856,93.6992,0.513217,Plaque cell 12,CHIR-99021,2.90E-06
Plaque cell 12_L18,4185_Plaque cell 12_20122017_1413,L18,,0.793699,0.172834,2333,96.1551,0.473367,Plaque cell 12,CHIR-99021,8.71E-07
Plaque cell 12_L19,4185_Plaque cell 12_20122017_1413,L19,,0.765912,0.102114,2065,94.2525,0.343215,Plaque cell 12,CHIR-99021,2.61E-07
Plaque cell 12_L20,4185_Plaque cell 12_20122017_1413,L20,,0.771106,0.124772,2032,101.605,0.363675,Plaque cell 12,CHIR-99021,7.84E-08
Plaque cell 12_L21,4185_Plaque cell 12_20122017_1413,L21,,0.764924,0.131157,1885,97.3781,0.340888,Plaque cell 12,CHIR-99021,2.35E-08
Plaque cell 12_L22,4185_Plaque cell 12_20122017_1413,L22,,0.756015,0.113007,1839,99.2899,0.254944,Plaque cell 12,CHIR-99021,7.06E-09
Plaque cell 12_L23,4185_Plaque cell 12_20122017_1413,L23,,0.744408,0.165583,1708,108.699,0.271691,Plaque cell 12,CHIR-99021,2.12E-09
Plaque cell 12_L24,4185_Plaque cell 12_20122017_1413,L24,,0.735782,0.0735212,1187,99.8309,0.211151,Plaque cell 12,CHIR-99021,6.35E-10
Plaque cell 10_O15,4183_Plaque cell 10_20122017_1323,O15,,0.747494,0.582789,109,98.7029,0.209586,Plaque cell 10,Cytochalasin D,3.23E-05
Plaque cell 10_O16,4183_Plaque cell 10_20122017_1323,O16,,0.717765,0.606481,153,121.621,0.177333,Plaque cell 10,Cytochalasin D,9.68E-06
Plaque cell 10_O17,4183_Plaque cell 10_20122017_1323,O17,,0.726574,0.639661,102,96.4391,0.202932,Plaque cell 10,Cytochalasin D,2.90E-06
Plaque cell 10_O18,4183_Plaque cell 10_20122017_1323,O18,,0.724747,0.481763,213,116.614,0.344565,Plaque cell 10,Cytochalasin D,8.71E-07
Plaque cell 10_O19,4183_Plaque cell 10_20122017_1323,O19,,0.746944,0.495701,233,118.205,0.455195,Plaque cell 10,Cytochalasin D,2.61E-07
Plaque cell 10_O20,4183_Plaque cell 10_20122017_1323,O20,,0.739074,0.454614,287,120.93,0.271891,Plaque cell 10,Cytochalasin D,7.84E-08
Plaque cell 10_O21,4183_Plaque cell 10_20122017_1323,O21,,0.767715,0.188339,679,95.5293,0.345154,Plaque cell 10,Cytochalasin D,2.35E-08
Plaque cell 10_O22,4183_Plaque cell 10_20122017_1323,O22,,0.766239,0.172361,1238,99.9555,0.322917,Plaque cell 10,Cytochalasin D,7.06E-09
Plaque cell 10_O23,4183_Plaque cell 10_20122017_1323,O23,,0.768966,0.124414,1266,106.423,0.289332,Plaque cell 10,Cytochalasin D,2.12E-09
Plaque cell 10_O24,4183_Plaque cell 10_20122017_1323,O24,,0.755383,0.118031,1143,111.554,0.207164,Plaque cell 10,Cytochalasin D,6.35E-10
Plaque cell 11_O15,4184_Plaque cell 11_20122017_1348,O15,,0.743143,0.484542,76,75.4167,0.27285,Plaque cell 11,Cytochalasin D,3.23E-05
Plaque cell 11_O16,4184_Plaque cell 11_20122017_1348,O16,,0.731203,0.529804,110,104.477,0.193595,Plaque cell 11,Cytochalasin D,9.68E-06
Plaque cell 11_O17,4184_Plaque cell 11_20122017_1348,O17,,0.718667,0.58991,119,110.224,0.226708,Plaque cell 11,Cytochalasin D,2.90E-06
Plaque cell 11_O18,4184_Plaque cell 11_20122017_1348,O18,,0.714579,0.482492,216,127.073,0.360497,Plaque cell 11,Cytochalasin D,8.71E-07
Plaque cell 11_O19,4184_Plaque cell 11_20122017_1348,O19,,0.728537,0.384276,223,121.796,0.413328,Plaque cell 11,Cytochalasin D,2.61E-07
Plaque cell 11_O20,4184_Plaque cell 11_20122017_1348,O20,,0.724689,0.374987,267,131.142,0.346565,Plaque cell 11,Cytochalasin D,7.84E-08
Plaque cell 11_O21,4184_Plaque cell 11_20122017_1348,O21,,0.765958,0.209637,712,100.478,0.436595,Plaque cell 11,Cytochalasin D,2.35E-08
Plaque cell 11_O22,4184_Plaque cell 11_20122017_1348,O22,,0.758296,0.124733,1260,106.518,0.302548,Plaque cell 11,Cytochalasin D,7.06E-09
Plaque cell 11_O23,4184_Plaque cell 11_20122017_1348,O23,,0.744304,0.0981808,1413,104.498,0.264337,Plaque cell 11,Cytochalasin D,2.12E-09
Plaque cell 11_O24,4184_Plaque cell 11_20122017_1348,O24,,0.744233,0.145702,1468,106.734,0.277283,Plaque cell 11,Cytochalasin D,6.35E-10
Plaque cell 12_O15,4185_Plaque cell 12_20122017_1413,O15,,0.761946,0.578557,92,86.5626,0.466239,Plaque cell 12,Cytochalasin D,3.23E-05
Plaque cell 12_O16,4185_Plaque cell 12_20122017_1413,O16,,0.731068,0.420727,150,94.3511,0.247694,Plaque cell 12,Cytochalasin D,9.68E-06
Plaque cell 12_O17,4185_Plaque cell 12_20122017_1413,O17,,0.747859,0.251904,94,83.4717,0.353077,Plaque cell 12,Cytochalasin D,2.90E-06
Plaque cell 12_O18,4185_Plaque cell 12_20122017_1413,O18,,0.729749,0.520291,219,121.008,0.346588,Plaque cell 12,Cytochalasin D,8.71E-07
Plaque cell 12_O19,4185_Plaque cell 12_20122017_1413,O19,,0.764419,0.39709,222,113.081,0.416574,Plaque cell 12,Cytochalasin D,2.61E-07
Plaque cell 12_O20,4185_Plaque cell 12_20122017_1413,O20,,0.744898,0.36071,259,115.249,0.336917,Plaque cell 12,Cytochalasin D,7.84E-08
Plaque cell 12_O21,4185_Plaque cell 12_20122017_1413,O21,,0.771035,0.169303,799,99.4062,0.326873,Plaque cell 12,Cytochalasin D,2.35E-08
Plaque cell 12_O22,4185_Plaque cell 12_20122017_1413,O22,,0.745382,0.121861,1290,103.713,0.246215,Plaque cell 12,Cytochalasin D,7.06E-09
Plaque cell 12_O23,4185_Plaque cell 12_20122017_1413,O23,,0.766151,0.117844,1257,97.154,0.290749,Plaque cell 12,Cytochalasin D,2.12E-09
Plaque cell 12_O24,4185_Plaque cell 12_20122017_1413,O24,,0.75785,0.0929123,1210,105.521,0.290175,Plaque cell 12,Cytochalasin D,6.35E-10
Plaque cell 1_F05,4174_Plaque cell 1_20122017_0936,F05,,0.673259,0.381224,3425,96.117,0.236165,Plaque cell 1,EC_11175103,3.23E-05
Plaque cell 1_F06,4174_Plaque cell 1_20122017_0936,F06,,0.735412,0.130368,2012,107.988,0.374179,Plaque cell 1,EC_11175103,9.68E-06
Plaque cell 1_F07,4174_Plaque cell 1_20122017_0936,F07,,0.759046,0.191342,1978,105.687,0.349143,Plaque cell 1,EC_11175103,2.90E-06
Plaque cell 1_F08,4174_Plaque cell 1_20122017_0936,F08,,0.766855,0.0883207,1790,108.961,0.420544,Plaque cell 1,EC_11175103,8.71E-07
Plaque cell 1_F09,4174_Plaque cell 1_20122017_0936,F09,,0.751351,0.195012,2364,102.462,0.359499,Plaque cell 1,EC_11175103,2.61E-07
Plaque cell 1_F10,4174_Plaque cell 1_20122017_0936,F10,,0.777218,0.100451,1836,103.547,0.394485,Plaque cell 1,EC_11175103,7.84E-08
Plaque cell 1_F11,4174_Plaque cell 1_20122017_0936,F11,,0.785255,0.100984,1805,104.982,0.443659,Plaque cell 1,EC_11175103,2.35E-08
Plaque cell 1_F12,4174_Plaque cell 1_20122017_0936,F12,,0.780337,0.096411,1701,104.024,0.408132,Plaque cell 1,EC_11175103,7.06E-09
Plaque cell 1_F13,4174_Plaque cell 1_20122017_0936,F13,,0.771826,0.0952222,1819,103.708,0.380868,Plaque cell 1,EC_11175103,2.12E-09
Plaque cell 1_F14,4174_Plaque cell 1_20122017_0936,F14,,0.751958,0.134018,1955,103.897,0.304605,Plaque cell 1,EC_11175103,6.35E-10
Plaque cell 2_F05,4175_Plaque cell 2_20122017_1001,F05,,0.678957,0.232638,2758,102.618,0.329737,Plaque cell 2,EC_11175103,3.23E-05
Plaque cell 2_F06,4175_Plaque cell 2_20122017_1001,F06,,0.740443,0.100956,1848,106.05,0.246318,Plaque cell 2,EC_11175103,9.68E-06
Plaque cell 2_F07,4175_Plaque cell 2_20122017_1001,F07,,0.770574,0.101583,1800,102.605,0.369946,Plaque cell 2,EC_11175103,2.90E-06
Plaque cell 2_F08,4175_Plaque cell 2_20122017_1001,F08,,0.755177,0.122854,1749,111.479,0.29045,Plaque cell 2,EC_11175103,8.71E-07
Plaque cell 2_F09,4175_Plaque cell 2_20122017_1001,F09,,0.773512,0.0774793,1769,104.103,0.355367,Plaque cell 2,EC_11175103,2.61E-07
Plaque cell 2_F10,4175_Plaque cell 2_20122017_1001,F10,,0.773772,0.0899089,1713,104.586,0.299708,Plaque cell 2,EC_11175103,7.84E-08
Plaque cell 2_F11,4175_Plaque cell 2_20122017_1001,F11,,0.777108,0.0996086,1874,103.409,0.426505,Plaque cell 2,EC_11175103,2.35E-08
Plaque cell 2_F12,4175_Plaque cell 2_20122017_1001,F12,,0.781532,0.0864371,1913,101.778,0.390767,Plaque cell 2,EC_11175103,7.06E-09
Plaque cell 2_F13,4175_Plaque cell 2_20122017_1001,F13,,0.786073,0.0774955,1937,99.281,0.411104,Plaque cell 2,EC_11175103,2.12E-09
Plaque cell 2_F14,4175_Plaque cell 2_20122017_1001,F14,,0.784719,0.074719,1697,105.956,0.33729,Plaque cell 2,EC_11175103,6.35E-10
Plaque cell 3_F05,4176_Plaque cell 3_20122017_1026,F05,,0.678206,0.222776,2893,96.3514,0.244975,Plaque cell 3,EC_11175103,3.23E-05
Plaque cell 3_F06,4176_Plaque cell 3_20122017_1026,F06,,0.745696,0.109906,1848,106.973,0.293656,Plaque cell 3,EC_11175103,9.68E-06
