CPD_ID,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,Run
EC_1669101,9.01E-06,0.194,0.592,3.12,0.56,7.69E-06,-0.0295,0.552,1.56,0.917,5.51E-06,-0.124,0.722,1.64,0.943,4
EC_2115383,5.94E-06,-0.0281,1.01,3.13,0.87,9.20E-07,0.0209,0.115,15.6,0.137,2.70E-05,-0.591,0.0621,19.7,0.802,4
EC_2153600,2.47E-05,-0.0207,1.19,18.8,0.938,8.68E-07,0.00716,0.181,9.67,0.395,2.82E-05,-0.539,0.0532,16,0.841,4
EC_2118873,2.62E-05,0.142,1.28,14.6,0.855,3.41E-06,0.0388,0.525,15.7,0.952,8.30E-08,0.0465,0.111,0.577,0.0711,4
EC_3028064,1.28E-05,0.101,1.34,1.27,0.857,8.34E-07,0.0313,0.186,12.3,0.205,2.75E-07,0.0856,0.24,14.9,0.144,4
EC_4753261,1.06E-05,0.362,1.36,13.8,0.849,2.06E-06,0.0463,0.53,2.17,0.915,2.79E-06,0.104,0.468,8.02,0.862,4
EC_3839735,9.73E-06,0.01,1.26,18,0.918,1.87E-06,0.0391,0.775,3.03,0.918,1.70E-06,0.105,0.53,4.11,0.532,4
EC_4753381,6.55E-06,-0.0281,1.3,3.62,0.952,4.33E-08,0.0291,0.0559,10.8,0.0153,2.60E-05,-0.601,0.126,15.9,0.92,4
EC_3908975,5.03E-06,0.0173,1.33,2.37,0.937,9.17E-07,0.0368,0.259,16,0.669,9.48E-07,0.0903,0.425,10.6,0.761,4
EC_4756168,1.11E-07,1.28,2.4,0.772,0.847,2.83E-07,-0.0415,0.648,0.419,0.864,1.52E-05,0.11,0.454,1.89,0.727,4
EC_3941139,2.14E-09,1.23,1.33,15.9,0.0609,2.07E-05,0.047,0.215,1.2,0.278,2.10E-05,0.0992,0.292,1.57,0.492,4
EC_4795178,4.08E-06,-0.0281,1.26,2.11,0.945,4.32E-07,0.017,0.434,3.65,0.441,2.73E-07,0.0875,0.338,16,0.174,4
